dist_cart,dist_road,dist_urb,dist_vil,DVSP,elev,for200090m,for200190m,for200290m,for200390m,for200490m,for200590m,for200690m,for200790m,for200890m,for200990m,for201090m,for201190m,for201290m,for201390m,for201490m,for201590m,for201690m,for201790m,lspop2000,lspop2001,lspop2002,lspop2003,lspop2004,pop05,lspop2006,lspop2007,lspop2008,lspop2009,lspop2010,lspop2011,lspop2012,lspop2013,lspop2014,lspop2015,lspop2016,lspop2017,rice,precip,slope,veg,cfm_id,pa_id,CFM,PA
5748.2768555,6202.9707031,47549.589844,6573.7294922,5,1050,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1651,9.5318431854,1,966,0,1,0
2372.1740723,3145.2502441,19945.326172,2980.909668,4,119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1111111119,0,0,2,2,5,3,2,0,1,1,1,1,1,1,1,1,1,4,5,7,0,930,0.8398468494,2,587,0,1,0
15141.023438,23055.673828,93347,16249.310547,10,151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,4,4,3,4,0,1,1,1,1,1,1,1,1,2,1,1,0,0,534,0.1102850586,3,493,0,1,0
1112.6721191,13662.207031,51117.007813,7034.5961914,24,1157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,8,10,8,8,3,5,5,5,5,15,5,5,5,8,3,2,1,1,1445,4.2364521027,1,606,0,1,0
5507.5913086,17044.65625,35341.757813,5472.2045898,35,1271,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,65,24,9,5,2,6,7,7,7,7,7,7,8,8,7,8,6,3,0,1715,4.4300441742,1,762,0,1,0
4031.8566895,3365.8188477,29121.017578,2279.076416,11,72,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,0.6666666865,61,9,2,2,8,6,7,8,8,8,17,8,8,8,20,11,10,4,0,2536,12.696563721,1,963,0,1,0
1583.2298584,17075.246094,55323.0625,2377.5610352,6,247,1,1,1,1,1,1,1,0.777777791,0.2222222239,0.2222222239,0.2222222239,0.2222222239,0.2222222239,0.2222222239,0.2222222239,0.2222222239,0.2222222239,0.2222222239,8,2,2,2,2,3,4,4,4,4,3,4,4,4,2,2,2,1,0,624,1.9284744263,3,512,0,1,0
2605.390625,20698.740234,45172.679688,2173.9465332,24,1011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487,9.5410604477,1,611,0,1,0
3031.3027344,8904.6142578,38514.710938,4981.6582031,6,1211,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46,73,11,8,5,2,5,5,5,5,3,6,6,6,2,4,4,2,0,1461,12.308773994,1,981,0,1,0
2392.6394043,12226.032227,64948.980469,6511.8271484,4,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,10,10,9,11,7,6,6,6,7,9,7,7,7,7,5,5,2,0,540,1.4334083796,3,499,0,1,0
2797.1696777,7847.9921875,29174.798828,2223.831543,3,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,40,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841,0.643040657,1,95,0,1,0
741.24938965,7794.3798828,63326.96875,1780.8369141,2.5,85,1,1,1,1,1,1,1,1,1,1,0.555555582,0.4444444478,0.4444444478,0.4444444478,0.4444444478,0.4444444478,0.4444444478,0.4444444478,23,8,15,11,8,7,8,8,8,9,23,9,9,10,44,13,11,5,0,1438,2.2046151161,2,174,0,1,0
10137.21875,11713.723633,41492.421875,10804.400391,44,1830,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,9,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1641,13.441864967,1,149,0,1,0
